Patient ID,Specialty,Referral Source,Engagement History,Website Interactions,Lead Source,Conversion Probability,Lead Score
L61399,Cardiology,Digital Ad,Visited website 7 times,Visited 4 pages,Digital Ad,71.0,77.88
L33472,Cardiology,Word of Mouth,Visited website 2 times,Visited 1 pages,Digital Ad,69.0,59.55
L59230,Orthopedics,Doctor Referral,Visited website 3 times,Visited 4 pages,Referral,75.0,63.34
L83616,Orthopedics,Doctor Referral,Visited website 8 times,Visited 1 pages,Referral,58.0,58.58
L17099,Cardiology,Doctor Referral,Visited website 4 times,Visited 1 pages,Organic Search,37.0,68.36
L35431,Neurology,Digital Ad,Visited website 4 times,Visited 3 pages,Organic Search,51.0,62.52
L66492,Neurology,Word of Mouth,Visited website 9 times,Visited 4 pages,Digital Ad,43.0,52.69
L57684,Cardiology,Word of Mouth,Visited website 5 times,Visited 2 pages,Organic Search,34.0,59.81
L40111,Cardiology,Digital Ad,Visited website 6 times,Visited 4 pages,Organic Search,40.0,72.3
L73936,Orthopedics,Word of Mouth,Visited website 8 times,Visited 3 pages,Organic Search,33.0,45.01
L32614,Pediatrics,Digital Ad,Visited website 2 times,Visited 4 pages,Referral,60.0,29.29
L51991,Pediatrics,Digital Ad,Visited website 4 times,Visited 3 pages,Organic Search,51.0,31.8
L80476,Orthopedics,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,72.0,55.3
L70920,Cardiology,Digital Ad,Visited website 2 times,Visited 2 pages,Referral,68.0,70.87
L73530,Pediatrics,Doctor Referral,Visited website 8 times,Visited 1 pages,Digital Ad,48.0,28.37
L46224,Cardiology,Digital Ad,Visited website 3 times,Visited 1 pages,Organic Search,34.0,60.32
L17788,Cardiology,Digital Ad,Visited website 9 times,Visited 4 pages,Organic Search,40.0,76.91
L38082,Pediatrics,Word of Mouth,Visited website 1 times,Visited 1 pages,Referral,79.0,26.78
L99570,Orthopedics,Doctor Referral,Visited website 6 times,Visited 2 pages,Organic Search,60.0,63.08
L86816,Cardiology,Doctor Referral,Visited website 7 times,Visited 4 pages,Organic Search,76.0,95.55
L93588,Cardiology,Word of Mouth,Visited website 6 times,Visited 3 pages,Digital Ad,47.0,58.63
L26531,Pediatrics,Doctor Referral,Visited website 2 times,Visited 1 pages,Organic Search,66.0,37.69
L98340,Orthopedics,Digital Ad,Visited website 7 times,Visited 4 pages,Organic Search,62.0,63.49
L54857,Pediatrics,Word of Mouth,Visited website 3 times,Visited 3 pages,Organic Search,49.0,24.22
L20142,Orthopedics,Word of Mouth,Visited website 7 times,Visited 4 pages,Digital Ad,32.0,34.31
L58355,Neurology,Digital Ad,Visited website 1 times,Visited 1 pages,Referral,34.0,41.88
L19866,Orthopedics,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,79.0,56.99
L80067,Neurology,Word of Mouth,Visited website 5 times,Visited 1 pages,Organic Search,65.0,62.31
L74027,Neurology,Digital Ad,Visited website 2 times,Visited 1 pages,Digital Ad,40.0,41.07
L67906,Cardiology,Digital Ad,Visited website 4 times,Visited 2 pages,Referral,33.0,57.81
L38138,Cardiology,Digital Ad,Visited website 8 times,Visited 2 pages,Referral,75.0,83.31
L39956,Pediatrics,Doctor Referral,Visited website 5 times,Visited 3 pages,Organic Search,55.0,40.3
L86295,Pediatrics,Doctor Referral,Visited website 4 times,Visited 2 pages,Referral,72.0,39.94
L15439,Orthopedics,Word of Mouth,Visited website 4 times,Visited 3 pages,Organic Search,70.0,55.91
L57241,Cardiology,Digital Ad,Visited website 7 times,Visited 3 pages,Organic Search,56.0,79.67
L52533,Pediatrics,Digital Ad,Visited website 8 times,Visited 1 pages,Digital Ad,31.0,15.41
L38270,Orthopedics,Digital Ad,Visited website 7 times,Visited 1 pages,Referral,58.0,51.92
L88815,Cardiology,Doctor Referral,Visited website 3 times,Visited 3 pages,Digital Ad,33.0,57.81
L49279,Neurology,Word of Mouth,Visited website 6 times,Visited 4 pages,Digital Ad,53.0,52.69
L33888,Neurology,Digital Ad,Visited website 1 times,Visited 3 pages,Digital Ad,52.0,48.13
L27630,Cardiology,Digital Ad,Visited website 2 times,Visited 1 pages,Organic Search,58.0,69.84
L71063,Orthopedics,Digital Ad,Visited website 3 times,Visited 2 pages,Digital Ad,34.0,31.13
L45144,Neurology,Digital Ad,Visited website 6 times,Visited 3 pages,Digital Ad,52.0,55.81
L62161,Cardiology,Word of Mouth,Visited website 7 times,Visited 1 pages,Referral,64.0,70.05
L87360,Orthopedics,Doctor Referral,Visited website 5 times,Visited 1 pages,Referral,30.0,41.07
L60979,Cardiology,Digital Ad,Visited website 7 times,Visited 1 pages,Referral,62.0,74.24
L16979,Pediatrics,Word of Mouth,Visited website 6 times,Visited 4 pages,Organic Search,55.0,33.13
L36189,Pediatrics,Doctor Referral,Visited website 1 times,Visited 3 pages,Digital Ad,64.0,28.06
L52600,Orthopedics,Word of Mouth,Visited website 5 times,Visited 3 pages,Referral,65.0,50.03
L69560,Orthopedics,Doctor Referral,Visited website 4 times,Visited 2 pages,Organic Search,54.0,57.25
L88040,Neurology,Digital Ad,Visited website 9 times,Visited 1 pages,Digital Ad,55.0,58.73
L71558,Cardiology,Digital Ad,Visited website 4 times,Visited 1 pages,Organic Search,54.0,71.07
L96205,Neurology,Word of Mouth,Visited website 2 times,Visited 3 pages,Digital Ad,73.0,54.22
L16910,Neurology,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,64.0,60.32
L67713,Pediatrics,Digital Ad,Visited website 9 times,Visited 3 pages,Digital Ad,46.0,26.93
L56857,Neurology,Word of Mouth,Visited website 4 times,Visited 2 pages,Referral,33.0,42.45
L44964,Orthopedics,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,30.0,43.63
L95667,Neurology,Doctor Referral,Visited website 8 times,Visited 3 pages,Organic Search,35.0,66.41
L35227,Pediatrics,Digital Ad,Visited website 4 times,Visited 1 pages,Referral,64.0,29.6
L15978,Neurology,Digital Ad,Visited website 9 times,Visited 4 pages,Organic Search,53.0,72.66
L97527,Cardiology,Word of Mouth,Visited website 1 times,Visited 4 pages,Organic Search,40.0,59.5
L27153,Neurology,Word of Mouth,Visited website 7 times,Visited 2 pages,Digital Ad,70.0,58.99
L69765,Cardiology,Doctor Referral,Visited website 2 times,Visited 2 pages,Digital Ad,78.0,75.47
L49071,Neurology,Digital Ad,Visited website 2 times,Visited 1 pages,Referral,62.0,56.32
L79519,Orthopedics,Word of Mouth,Visited website 8 times,Visited 4 pages,Organic Search,76.0,66.36
L19503,Orthopedics,Word of Mouth,Visited website 8 times,Visited 3 pages,Referral,55.0,50.03
L70703,Cardiology,Digital Ad,Visited website 5 times,Visited 2 pages,Digital Ad,37.0,56.07
L74379,Cardiology,Word of Mouth,Visited website 8 times,Visited 2 pages,Organic Search,78.0,84.69
L67866,Pediatrics,Digital Ad,Visited website 1 times,Visited 1 pages,Organic Search,34.0,16.28
L26905,Neurology,Doctor Referral,Visited website 8 times,Visited 2 pages,Referral,50.0,66.67
L55838,Pediatrics,Doctor Referral,Visited website 7 times,Visited 1 pages,Digital Ad,32.0,19.46
L68279,Pediatrics,Doctor Referral,Visited website 3 times,Visited 2 pages,Organic Search,50.0,33.38
L99489,Orthopedics,Digital Ad,Visited website 2 times,Visited 2 pages,Referral,77.0,54.53
L36806,Pediatrics,Doctor Referral,Visited website 7 times,Visited 4 pages,Digital Ad,43.0,29.13
L55000,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Organic Search,36.0,34.1
L32168,Pediatrics,Digital Ad,Visited website 4 times,Visited 4 pages,Digital Ad,43.0,19.41
L80119,Cardiology,Doctor Referral,Visited website 8 times,Visited 4 pages,Digital Ad,41.0,70.71
L48714,Pediatrics,Doctor Referral,Visited website 7 times,Visited 3 pages,Organic Search,35.0,34.15
L64093,Neurology,Word of Mouth,Visited website 5 times,Visited 4 pages,Referral,71.0,64.57
L65419,Orthopedics,Digital Ad,Visited website 8 times,Visited 3 pages,Digital Ad,74.0,58.78
L59145,Cardiology,Word of Mouth,Visited website 9 times,Visited 1 pages,Referral,36.0,60.22
L87425,Neurology,Word of Mouth,Visited website 6 times,Visited 4 pages,Organic Search,30.0,52.33
L87811,Cardiology,Word of Mouth,Visited website 4 times,Visited 4 pages,Organic Search,57.0,71.94
L12461,Neurology,Doctor Referral,Visited website 1 times,Visited 2 pages,Digital Ad,46.0,48.95
L24291,Orthopedics,Digital Ad,Visited website 1 times,Visited 1 pages,Digital Ad,68.0,42.19
L56804,Cardiology,Doctor Referral,Visited website 9 times,Visited 3 pages,Organic Search,66.0,92.47
L86971,Orthopedics,Digital Ad,Visited website 9 times,Visited 4 pages,Referral,53.0,57.3
L74946,Cardiology,Word of Mouth,Visited website 1 times,Visited 4 pages,Referral,45.0,56.68
L94080,Cardiology,Digital Ad,Visited website 8 times,Visited 2 pages,Organic Search,67.0,84.74
L71332,Orthopedics,Doctor Referral,Visited website 3 times,Visited 3 pages,Referral,61.0,55.35
L87794,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Referral,79.0,85.66
L40841,Pediatrics,Digital Ad,Visited website 4 times,Visited 1 pages,Digital Ad,79.0,31.39
L58758,Neurology,Word of Mouth,Visited website 7 times,Visited 2 pages,Referral,65.0,61.8
L86272,Neurology,Digital Ad,Visited website 8 times,Visited 1 pages,Referral,50.0,60.01
L47643,Pediatrics,Doctor Referral,Visited website 1 times,Visited 1 pages,Organic Search,67.0,36.61
L60408,Neurology,Word of Mouth,Visited website 3 times,Visited 2 pages,Referral,37.0,42.75
L53950,Cardiology,Doctor Referral,Visited website 4 times,Visited 4 pages,Referral,68.0,82.13
L66849,Cardiology,Word of Mouth,Visited website 2 times,Visited 2 pages,Referral,52.0,58.37
L38044,Cardiology,Digital Ad,Visited website 5 times,Visited 1 pages,Referral,53.0,67.03
L25997,Orthopedics,Word of Mouth,Visited website 3 times,Visited 3 pages,Referral,65.0,46.95
L89751,Cardiology,Word of Mouth,Visited website 1 times,Visited 1 pages,Digital Ad,72.0,59.4
L33911,Cardiology,Word of Mouth,Visited website 4 times,Visited 4 pages,Referral,36.0,57.14
L65533,Orthopedics,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,44.0,56.73
L92566,Cardiology,Doctor Referral,Visited website 7 times,Visited 2 pages,Organic Search,70.0,89.71
L24571,Orthopedics,Doctor Referral,Visited website 2 times,Visited 2 pages,Referral,72.0,57.35
L67941,Orthopedics,Word of Mouth,Visited website 3 times,Visited 4 pages,Digital Ad,67.0,44.29
L68005,Orthopedics,Doctor Referral,Visited website 1 times,Visited 1 pages,Organic Search,62.0,54.79
L96250,Orthopedics,Digital Ad,Visited website 2 times,Visited 1 pages,Organic Search,57.0,48.9
L68712,Orthopedics,Doctor Referral,Visited website 3 times,Visited 1 pages,Digital Ad,79.0,55.45
L53541,Neurology,Doctor Referral,Visited website 3 times,Visited 1 pages,Referral,55.0,59.75
L33387,Neurology,Doctor Referral,Visited website 5 times,Visited 3 pages,Digital Ad,79.0,71.84
L58908,Cardiology,Digital Ad,Visited website 4 times,Visited 3 pages,Digital Ad,72.0,72.2
L95457,Pediatrics,Word of Mouth,Visited website 5 times,Visited 4 pages,Referral,57.0,27.39
L23057,Cardiology,Word of Mouth,Visited website 7 times,Visited 4 pages,Referral,59.0,72.35
L74028,Pediatrics,Doctor Referral,Visited website 9 times,Visited 2 pages,Digital Ad,44.0,29.6
L65731,Pediatrics,Word of Mouth,Visited website 7 times,Visited 2 pages,Organic Search,57.0,32.51
L34858,Pediatrics,Doctor Referral,Visited website 6 times,Visited 1 pages,Referral,79.0,44.7
L58689,Cardiology,Digital Ad,Visited website 8 times,Visited 3 pages,Digital Ad,31.0,59.45
L54638,Cardiology,Digital Ad,Visited website 8 times,Visited 1 pages,Digital Ad,34.0,57.76
L56486,Pediatrics,Word of Mouth,Visited website 5 times,Visited 4 pages,Referral,48.0,23.25
L30567,Cardiology,Digital Ad,Visited website 1 times,Visited 4 pages,Referral,34.0,56.73
L39739,Orthopedics,Digital Ad,Visited website 2 times,Visited 4 pages,Organic Search,73.0,60.88
L67804,Neurology,Doctor Referral,Visited website 7 times,Visited 3 pages,Referral,63.0,72.66
L13754,Neurology,Doctor Referral,Visited website 9 times,Visited 1 pages,Referral,70.0,75.88
L37044,Neurology,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,62.0,57.35
L77260,Pediatrics,Doctor Referral,Visited website 5 times,Visited 2 pages,Digital Ad,66.0,33.59
L76912,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Digital Ad,69.0,39.07
L18706,Neurology,Digital Ad,Visited website 5 times,Visited 2 pages,Organic Search,49.0,61.6
L18894,Orthopedics,Doctor Referral,Visited website 7 times,Visited 4 pages,Digital Ad,79.0,66.21
L28037,Neurology,Doctor Referral,Visited website 6 times,Visited 2 pages,Referral,35.0,56.68
L93986,Orthopedics,Word of Mouth,Visited website 2 times,Visited 1 pages,Organic Search,36.0,34.1
L91942,Cardiology,Digital Ad,Visited website 1 times,Visited 3 pages,Digital Ad,37.0,51.46
L61612,Cardiology,Word of Mouth,Visited website 8 times,Visited 2 pages,Referral,56.0,69.43
L39725,Orthopedics,Doctor Referral,Visited website 5 times,Visited 3 pages,Organic Search,40.0,53.87
L15926,Orthopedics,Digital Ad,Visited website 4 times,Visited 3 pages,Referral,30.0,37.48
L19496,Pediatrics,Word of Mouth,Visited website 1 times,Visited 2 pages,Digital Ad,56.0,12.6
L66447,Orthopedics,Doctor Referral,Visited website 5 times,Visited 1 pages,Digital Ad,33.0,37.33
L39806,Pediatrics,Doctor Referral,Visited website 9 times,Visited 3 pages,Referral,66.0,46.39
L98199,Neurology,Word of Mouth,Visited website 2 times,Visited 1 pages,Digital Ad,33.0,32.72
L51321,Cardiology,Doctor Referral,Visited website 1 times,Visited 4 pages,Digital Ad,71.0,73.78
L75095,Neurology,Doctor Referral,Visited website 1 times,Visited 1 pages,Referral,60.0,58.99
L32656,Pediatrics,Word of Mouth,Visited website 1 times,Visited 2 pages,Referral,67.0,22.79
L65147,Cardiology,Digital Ad,Visited website 6 times,Visited 4 pages,Digital Ad,52.0,67.59
L59666,Neurology,Doctor Referral,Visited website 4 times,Visited 3 pages,Organic Search,78.0,80.08
L92368,Neurology,Doctor Referral,Visited website 4 times,Visited 4 pages,Organic Search,66.0,76.09
L48787,Orthopedics,Doctor Referral,Visited website 1 times,Visited 1 pages,Organic Search,74.0,60.32
L72946,Cardiology,Digital Ad,Visited website 8 times,Visited 3 pages,Organic Search,34.0,71.07
L31727,Neurology,Doctor Referral,Visited website 7 times,Visited 2 pages,Digital Ad,78.0,72.91
L78056,Orthopedics,Digital Ad,Visited website 4 times,Visited 2 pages,Digital Ad,64.0,46.49
L13081,Orthopedics,Word of Mouth,Visited website 1 times,Visited 3 pages,Organic Search,78.0,54.99
L44196,Orthopedics,Digital Ad,Visited website 5 times,Visited 1 pages,Organic Search,69.0,59.04
L46735,Pediatrics,Word of Mouth,Visited website 5 times,Visited 3 pages,Organic Search,34.0,20.38
L90102,Pediatrics,Doctor Referral,Visited website 8 times,Visited 4 pages,Organic Search,55.0,46.44
L89578,Orthopedics,Doctor Referral,Visited website 1 times,Visited 2 pages,Digital Ad,72.0,50.69
L35498,Neurology,Doctor Referral,Visited website 7 times,Visited 4 pages,Referral,67.0,76.04
L86865,Neurology,Word of Mouth,Visited website 3 times,Visited 2 pages,Organic Search,40.0,49.26
L41656,Cardiology,Digital Ad,Visited website 1 times,Visited 4 pages,Digital Ad,70.0,68.2
L77695,Neurology,Doctor Referral,Visited website 1 times,Visited 4 pages,Organic Search,76.0,76.09
L47900,Orthopedics,Word of Mouth,Visited website 4 times,Visited 3 pages,Referral,42.0,37.89
L94899,Cardiology,Doctor Referral,Visited website 3 times,Visited 2 pages,Digital Ad,57.0,67.33
L57701,Cardiology,Word of Mouth,Visited website 3 times,Visited 4 pages,Referral,70.0,71.27
L29033,Neurology,Doctor Referral,Visited website 8 times,Visited 3 pages,Digital Ad,65.0,69.99
L20805,Cardiology,Digital Ad,Visited website 4 times,Visited 3 pages,Digital Ad,79.0,75.42
L45851,Neurology,Doctor Referral,Visited website 8 times,Visited 1 pages,Organic Search,61.0,75.32
L36832,Orthopedics,Word of Mouth,Visited website 2 times,Visited 3 pages,Referral,62.0,44.03
L73437,Orthopedics,Digital Ad,Visited website 5 times,Visited 4 pages,Digital Ad,37.0,38.66
L23944,Neurology,Word of Mouth,Visited website 2 times,Visited 2 pages,Digital Ad,59.0,46.24
L29873,Pediatrics,Digital Ad,Visited website 2 times,Visited 2 pages,Digital Ad,41.0,12.34
L50372,Orthopedics,Doctor Referral,Visited website 1 times,Visited 2 pages,Referral,65.0,52.59
L99464,Pediatrics,Doctor Referral,Visited website 3 times,Visited 4 pages,Digital Ad,37.0,20.23
L25379,Neurology,Doctor Referral,Visited website 6 times,Visited 1 pages,Digital Ad,38.0,51.41
L46751,Neurology,Word of Mouth,Visited website 1 times,Visited 1 pages,Organic Search,62.0,54.79
L99822,Orthopedics,Doctor Referral,Visited website 1 times,Visited 2 pages,Referral,75.0,57.19
L15110,Orthopedics,Doctor Referral,Visited website 3 times,Visited 4 pages,Organic Search,67.0,64.77
L64341,Pediatrics,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,51.0,33.33
L22087,Pediatrics,Digital Ad,Visited website 3 times,Visited 2 pages,Organic Search,69.0,37.02
L33762,Cardiology,Doctor Referral,Visited website 2 times,Visited 2 pages,Digital Ad,75.0,74.09
L92617,Orthopedics,Digital Ad,Visited website 4 times,Visited 3 pages,Organic Search,38.0,46.29
L19596,Orthopedics,Doctor Referral,Visited website 5 times,Visited 4 pages,Digital Ad,51.0,50.23
L28313,Neurology,Digital Ad,Visited website 8 times,Visited 2 pages,Digital Ad,34.0,49.05
L76549,Neurology,Doctor Referral,Visited website 5 times,Visited 2 pages,Organic Search,64.0,73.63
L33705,Pediatrics,Word of Mouth,Visited website 1 times,Visited 3 pages,Organic Search,50.0,21.61
L77364,Orthopedics,Doctor Referral,Visited website 6 times,Visited 3 pages,Referral,44.0,52.12
L83445,Pediatrics,Digital Ad,Visited website 4 times,Visited 1 pages,Digital Ad,53.0,19.41
L88645,Cardiology,Doctor Referral,Visited website 6 times,Visited 1 pages,Referral,31.0,63.54
L12023,Neurology,Word of Mouth,Visited website 8 times,Visited 2 pages,Organic Search,45.0,59.24
L69796,Neurology,Digital Ad,Visited website 7 times,Visited 3 pages,Referral,36.0,55.09
L90073,Orthopedics,Word of Mouth,Visited website 7 times,Visited 3 pages,Organic Search,47.0,49.92
L74429,Orthopedics,Digital Ad,Visited website 5 times,Visited 1 pages,Organic Search,61.0,55.35
L71627,Orthopedics,Doctor Referral,Visited website 5 times,Visited 2 pages,Referral,79.0,65.18
L43848,Orthopedics,Digital Ad,Visited website 8 times,Visited 4 pages,Digital Ad,41.0,45.11
L47804,Orthopedics,Doctor Referral,Visited website 2 times,Visited 3 pages,Referral,50.0,48.75
L25379,Cardiology,Doctor Referral,Visited website 6 times,Visited 2 pages,Digital Ad,68.0,77.01
L69664,Neurology,Digital Ad,Visited website 2 times,Visited 2 pages,Referral,43.0,49.1
L37766,Cardiology,Word of Mouth,Visited website 8 times,Visited 2 pages,Digital Ad,37.0,55.56
L78099,Cardiology,Digital Ad,Visited website 7 times,Visited 1 pages,Organic Search,72.0,83.97
L46060,Pediatrics,Word of Mouth,Visited website 6 times,Visited 1 pages,Organic Search,76.0,38.2
